t(s),Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Flux surface 1: solute,Average T volume 1
1e-06,5762446788029141.0,176573591470011.2,278208779597677.03,1682830813556972.0,3.2922509877559306e+21,673.0000000000006
2.2e-06,1.254914027969387e+16,308594023104782.4,837112501124135.5,5071030103222044.0,3.877404433680389e+21,673.0000000000006
3.64e-06,2.058784118991469e+16,407068122006777.44,1673419344456265.8,1.015525221017215e+16,4.043820553650229e+21,673.0000000000006
5.368e-06,3.013659403418705e+16,484095826583479.4,2784837634728049.5,1.6935600420320182e+16,4.137394929384268e+21,673.0000000000006
7.4416e-06,4.148623354887035e+16,551247955450403.25,4174828920800144.5,2.5450578639894104e+16,4.2213820312856166e+21,673.0000000000006
9.92992e-06,5.4962503060351704e+16,618933871601203.1,5854876236357706.0,3.5790542786925536e+16,4.3074015619734973e+21,673.0000000000006
1.2915903999999999e-05,7.0924623820958824e+16,696477069763226.5,7844228819788862.0,4.809490063489929e+16,4.3934448362549726e+21,673.0000000000006
1.64990848e-05,8.975792458099381e+16,792663990962360.1,1.0167577342047572e+16,6.253526172864982e+16,4.470860105951497e+21,673.0000000000006
2.0798901759999998e-05,1.1185848583382859e+17,916391164615725.1,1.2851525641144002e+16,7.928969049955525e+16,4.5254669244101495e+21,673.0000000000006
2.5958682111999995e-05,1.3761027769368251e+17,1076966162539205.2,1.5921108360091524e+16,9.851685508089197e+16,4.538981679993715e+21,673.0000000000006
3.215041853439999e-05,1.6736107034467382e+17,1283708874019081.0,1.939788801088727e+16,1.2034242269792934e+17,4.4935118553996895e+21,673.0000000000006
3.958050224127999e-05,2.0140969366926797e+17,1544900584012942.0,2.3300793261780536e+16,1.4486809539721264e+17,4.3790558136623925e+21,673.0000000000006
4.8496602689535985e-05,2.4001558842392784e+17,1866742008712330.2,2.7649276770342428e+16,1.722004253058632e+17,4.199567931481683e+21,673.0000000000006
5.9195923227443176e-05,2.8342774885370083e+17,2253171079461314.5,3.246660659423969e+16,2.0248038934253107e+17,3.9717907748378336e+21,673.0000000000006
7.20351078729318e-05,3.319166045234233e+17,2706699009347876.5,3.778136664681609e+16,2.358957837356005e+17,3.71713353046248e+21,673.0000000000006
8.744212944751816e-05,3.857947987788233e+17,3229575067864046.5,4.362733963982128e+16,2.726770587292879e+17,3.4535931004094183e+21,673.0000000000006
0.00010593055533702178,4.454258770563654e+17,3824570992633380.0,5.004314794508676e+16,3.130894880351798e+17,3.192841151435527e+21,673.0000000000006
0.00012811666640442614,5.112275002481857e+17,4495254744109357.0,5.707241501252097e+16,3.574303297119875e+17,2.9414023549083446e+21,673.0000000000006
0.00015473999968531138,5.836743817455164e+17,5246000376789770.0,6.476430337894507e+16,4.060310119139249e+17,2.702719527193102e+21,673.0000000000006
0.00018668799962237364,6.633023803115341e+17,6081960826709177.0,7.31740838109304e+16,4.592612413954939e+17,2.478539779242428e+21,673.0000000000006
0.00022502559954684837,7.507133764019617e+17,7009083128856183.0,8.236360619317834e+16,5.1753308093721325e+17,2.2696079769247343e+21,673.0000000000006
0.00027103071945621803,8.465804750989985e+17,8034159655939644.0,9.240171872570862e+16,5.81304630150527e+17,2.076016829123163e+21,673.0000000000006
0.0003262368633474616,9.516534363202176e+17,9164893221208380.0,1.0336471536312312e+17,6.510836071105203e+17,1.8974226421484463e+21,673.0000000000006
0.00037224198325683125,1.0334564690863743e+18,1.0088382725551734e+16,1.1181993793807893e+17,7.04559845380495e+17,1.773338396968413e+21,673.0000000000006
0.0004274481271480748,1.1248756812123164e+18,1.111562482439201e+16,1.2128878510551318e+17,7.644060843927636e+17,1.652117327608107e+21,673.0000000000006
0.0004936954998175672,1.2268358815028106e+18,1.2245318102222322e+16,1.3185551861885805e+17,8.31490867628306e+17,1.5360579827857631e+21,673.0000000000006
0.0005489016437088107,1.3072302496130399e+18,1.3164461591423518e+16,1.401400635398216e+17,8.838225944279035e+17,1.453712006470764e+21,673.0000000000006
0.0006151490163783031,1.3981891004360177e+18,1.4193470289952414e+16,1.4953692206326906e+17,9.432424063872626e+17,1.370904368545938e+21,673.0000000000006
0.0006946458635816938,1.5008039969256376e+18,1.5335106790309068e+16,1.6013929261509312e+17,1.0106892176596769e+18,1.2890791958195255e+21,673.0000000000006
0.0007608932362511862,1.5823721618363133e+18,1.6268705389108358e+16,1.685342749204026e+17,1.0637732411576219e+18,1.229777421019187e+21,673.0000000000006
0.0008403900834545769,1.6753824051813693e+18,1.7322044661811384e+16,1.7812840208928192e+17,1.124523611511005e+18,1.1687169323275265e+21,673.0000000000006
0.0009357863000986458,1.7810826804775037e+18,1.8499369945360868e+16,1.890236575365156e+17,1.1939949441952174e+18,1.1069496090395863e+21,673.0000000000006
0.0010152831473020365,1.865542882171485e+18,1.946628588101087e+16,1.9770998421874694e+17,1.2489627278608712e+18,1.0615006260883267e+21,673.0000000000006
0.0011106793639461055,1.9623467504020915e+18,2.0562968937334628e+16,2.076842729593312e+17,1.3121938769279583e+18,1.0139452160510883e+21,673.0000000000006
0.0012251548239189882,2.0729018359561644e+18,2.179491619424202e+16,2.1905580471220333e+17,1.384868372680921e+18,9.650624242789903e+20,673.0000000000006
0.0013205510405630571,2.1615563245784532e+18,2.281002222697336e+16,2.2817020590743946e+17,1.4425654078838272e+18,9.28715097401315e+20,673.0000000000006
0.0014350265005359398,2.263530670074001e+18,2.3965444340210856e+16,2.386679020819967e+17,1.5091796699142705e+18,8.902570404238617e+20,673.0000000000006
0.0015304227171800088,2.345727463722053e+18,2.4916556743416336e+16,2.4712903744413677e+17,1.562449285704761e+18,8.611473242878596e+20,673.0000000000006
0.0016448981771528914,2.4407760817731456e+18,2.6001542436072532e+16,2.5691564915569456e+17,1.6243645471369684e+18,8.298606258374857e+20,673.0000000000006
0.0017822687291203507,2.5502919772880097e+18,2.722825357237238e+16,2.6815090527775776e+17,1.6962487774341225e+18,7.96847290426471e+20,673.0000000000006
0.0018967441890932334,2.638693935784772e+18,2.8241080093731916e+16,2.7723526788810198e+17,1.753772360361481e+18,7.718889625150798e+20,673.0000000000006
0.0020341147410606925,2.741076074013199e+18,2.940155602028769e+16,2.8776232628300074e+17,1.8206562929275564e+18,7.449889608249209e+20,673.0000000000006
0.0021485902010335753,2.8240283478380657e+18,3.0360074605457308e+16,2.9630551002282304e+17,1.8744399691949747e+18,7.243443906948064e+20,673.0000000000006
0.0022859607530010344,2.920469610828024e+18,3.1460374306475916e+16,3.0622886653134176e+17,1.9372815966449295e+18,7.017930857812082e+20,673.0000000000006
0.0024508054153619856,3.032200635697044e+18,3.2712346962801676e+16,3.17665726488613e+17,2.0106357646914872e+18,6.775645497771809e+20,673.0000000000006
0.0025881759673294447,3.122760076642596e+18,3.3748916468081188e+16,3.269721979277604e+17,2.0695838150906468e+18,6.590227642911303e+20,673.0000000000006
0.002753020629690396,3.2280911023028393e+18,3.4942202020295584e+16,3.3779334317487014e+17,2.1384165439202867e+18,6.387788760150948e+20,673.0000000000006
0.002890391181657855,3.3137106137863987e+18,3.5930327484790476e+16,3.466181543570851e+17,2.1939487470809928e+18,6.230954326495118e+20,673.0000000000006
0.003055235844018806,3.4135971533035776e+18,3.70691693430948e+16,3.568903619333852e+17,2.2590574447082555e+18,6.057792472135086e+20,673.0000000000006
0.0031926063959862652,3.49497907296468e+18,3.801105410154956e+16,3.6527977144681946e+17,2.311782460950466e+18,5.922727799665945e+20,673.0000000000006
0.0033574510583472164,3.5901608226609475e+18,3.909881145986496e+16,3.7506563657518886e+17,2.3737719443519293e+18,5.772607166771211e+20,673.0000000000006
0.0035552646531803577,3.7011233061028137e+18,4.034496615027213e+16,3.863940550775431e+17,2.4465911926248653e+18,5.608152550994438e+20,673.0000000000006
0.003720109315541309,3.79148786502951e+18,4.137871922703002e+16,3.956792446066468e+17,2.505426240463441e+18,5.480597658548065e+20,673.0000000000006
0.00391792291037445,3.8971288200659625e+18,4.257536849696949e+16,4.065203531104098e+17,2.574476548062373e+18,5.339320370363935e+20,673.0000000000006
0.004082767572735401,3.9833382542239667e+18,4.35685901273915e+16,4.1541347583425075e+17,2.630420700201431e+18,5.2286966939364465e+20,673.0000000000006
0.004280581167568542,4.0843418429994353e+18,4.4719273764157944e+16,4.257944282032743e+17,2.6962828870658924e+18,5.1050295604939856e+20,673.0000000000006
0.0044454258299294926,4.166905112324309e+18,4.56731997860137e+16,4.343138695147006e+17,2.7498001158093967e+18,5.0076350661733404e+20,673.0000000000006
