t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute
1000.0,4.575285212431804e+16,2419951672007.5435,943086779725.5089,-2038642.6398993593,-113933326517473.27,-1.9784312685383795e-58
2100.0,7.271259921339331e+16,19502877586222.625,9284894033203.137,-24886615.71110218,-115950202605171.31,-9.350847868109006e-57
3310.0,9.627044673579213e+16,81175613448811.3,46960883441068.52,-150251549.2136796,-116684557180411.25,-1.979703664104357e-55
4641.0,1.1871586344663294e+17,235445713802346.1,164251882082114.4,-603541274.1522405,-117103024529343.92,-2.4203722920157378e-54
6105.1,1.4079679426400893e+17,539784689725365.9,450002407702216.6,-1828770883.6897733,-117389670459999.42,-1.6756067074998565e-53
7715.610000000001,1.6280484755672506e+17,1049087343051389.9,1034955095542567.5,-4489072327.141915,-117606261491357.06,-3.315431252361926e-54
9487.171,1.8484404559717248e+17,1806546622649674.8,2087774677117605.0,-9354111356.934053,-117780087012730.83,1.966922527805189e-51
11435.8881,2.0693167469030192e+17,2840160459667448.5,3806306056251400.5,-17106813782.696339,-117925357030418.9,4.1522493657736916e-50
13579.476910000001,2.2904580984548912e+17,4164121780305795.0,6407377545603691.0,-28154531907.804092,-118050322608552.88,6.421934519754954e-49
15937.424601000002,2.5115046701786314e+17,5782930740607123.0,1.0117652828383898e+16,-42525754251.40444,-118160157720611.47,8.044789651120534e-48
18531.167061100005,2.7320962321628954e+17,7696242266776636.0,1.5166796255289864e+16,-59885012133.07146,-118258295029251.67,7.74764673480294e-47
21384.283767210007,2.951951164502557e+17,9903207597940710.0,2.178325419625259e+16,-79644734507.9763,-118347110427311.75,4.876726985793089e-46
24522.712143931007,3.1709091988872314e+17,1.2405757529478536e+16,3.0192439161378724e+16,-101122817856.40234,-118428302547970.27,3.670791610551016e-46
27974.98335832411,3.3889509180396525e+17,1.5210720651661526e+16,4.061691586735825e+16,-123694096585.16809,-118503117240198.84,-3.7603185064132584e-44
31772.481694156522,3.60620111815613e+17,1.8330903695921044e+16,5.327816014770225e+16,-146901777764.3642,-118572487843339.6,-5.909376291813264e-43
35949.729863572175,3.8229203767572474e+17,2.1785361174717132e+16,6.839947885128698e+16,-170517063502.41653,-118637127010360.4,-5.864201441608405e-42
40544.702849929396,4.0394880758638266e+17,2.5599105584298844e+16,8.620969582293531e+16,-194552237273.40106,-118697589106498.22,-4.4905500101140047e-41
45599.17313492234,4.256379820688516e+17,2.980248955235223e+16,1.0694722199252995e+17,-219241292243.31866,-118754313791432.03,-2.838661879763091e-40
51159.09044841458,4.4741421148596096e+17,3.4430445702271784e+16,1.3086414704443965e+17,-245003803929.97424,-118807656982830.28,-1.5398533791438157e-39
57274.999493256044,4.693366986559202e+17,3.952171220776295e+16,1.5823002421061437e+17,-272404939316.79633,-118857913017791.1,-7.461484646137114e-39
64002.499442581655,4.914668868168277e+17,4.5118113528995544e+16,1.893350686166464e+17,-302119929762.8798,-118905330505646.94,-3.483071531988349e-38
71402.74938683983,5.138665414501759e+17,5.12639153644455e+16,2.244925467388055e+17,-334906872195.8525,-118950123601763.81,-1.8190860710530657e-37
79543.02432552382,5.365963192127555e+17,5.800523529143773e+16,2.6404019023075693e+17,-371588297726.70844,-118992479963284.8,-1.2251605530082481e-36
88497.3267580762,5.597148416606515e+17,6.538946700435674e+16,3.0834051257879597e+17,-413039793840.73755,-119032566333809.0,-1.0035771639473646e-35
98347.05943388383,5.832782281888742e+17,7.346466492290048e+16,3.577799360001044e+17,-460182917515.7112,-119070532472299.33,-8.52052773685041e-35
109181.76537727221,6.073400001418084e+17,8.227883444109274e+16,4.127666477988971e+17,-513979370096.26135,-119106513957564.67,-6.858811225789097e-34
121099.94191499944,6.319512490812844e+17,9.187907841087288e+16,4.737271042454904e+17,-575423603928.945,-119140634249466.31,-5.111383535773141e-33
134209.9361064994,6.571609640113423e+17,1.0231056048253877e+17,5.4110109444915046e+17,-645531460072.3718,-119173006267232.73,-3.5349639871868824e-32
148630.92971714935,6.830164286597242e+17,1.136152594629232e+17,6.153352778231933e+17,-725322959822.4528,-119203733652590.53,-2.292283888631804e-31
164494.0226888643,7.095636232806682e+17,1.2583050552349592e+17,6.968751283536271e+17,-815797941103.7959,-119232911819017.47,-1.409624287653312e-30
181943.42495775074,7.368475894344956e+17,1.389873089443998e+17,7.861552665954596e+17,-917903889060.0642,-119260628844730.14,-8.297158815173588e-30
201137.76745352583,7.649127365948504e+17,1.5310851584992557e+17,8.835882482310258e+17,-1032495800621.6082,-119286966241127.34,-4.701150159652221e-29
222251.54419887843,7.93803084383155e+17,1.682068511459736e+17,9.895519908453562e+17,-1160289443003.5847,-119311999615009.8,-2.5676003717543924e-28
245476.69861876627,8.23562443851428e+17,1.8428293850470445e+17,1.1043761879374806e+18,-1301809296396.162,-119335799237235.77,-1.3484807547641144e-27
271024.3684806429,8.542345465919598e+17,2.0132341527335722e+17,1.2283282287918113e+18,-1457334587991.3936,-119358430528926.38,-6.777156610816421e-27
299126.8053287072,8.85863132974499e+17,2.1929928498657152e+17,1.361599327913055e+18,-1626847316949.823,-119379954476530.98,-3.241185939075721e-26
330039.48586157797,9.184920116703566e+17,2.381646663608957e+17,1.5042917265335176e+18,-1809987238641.8638,-119400427987649.31,-1.4677253946664595e-25
364043.4344477358,9.52165102579711e+17,2.5785610016606813e+17,1.6564079352604664e+18,-2006019228236.5063,-119419904199812.75,-6.270191194067263e-25
