parameters: E1[eV]/n1[atfr],  E2[eV]/n2[atfr],    E3[eV]/n3[atfr](only in 10 nm)
0.834/1.364e-03,  0.959/3.629e-04,  1.496/9.743e-02
Relative error with exp(%): 2.91
Temperature[K],    Des_flux[D2.m-2.s-1],   Des_flux[D.m-2.s-1]
300.800, 4.2408e+15,  8.4815e+15
301.600, 4.6192e+15,  9.2385e+15
302.400, 5.0292e+15,  1.0058e+16
303.200, 5.4731e+15,  1.0946e+16
304.000, 5.9535e+15,  1.1907e+16
304.800, 6.4732e+15,  1.2946e+16
305.600, 7.0351e+15,  1.4070e+16
306.400, 7.6424e+15,  1.5285e+16
307.200, 8.2986e+15,  1.6597e+16
308.000, 9.0072e+15,  1.8014e+16
308.800, 9.7721e+15,  1.9544e+16
309.600, 1.0597e+16,  2.1195e+16
310.400, 1.1488e+16,  2.2975e+16
311.200, 1.2447e+16,  2.4895e+16
312.000, 1.3482e+16,  2.6963e+16
312.800, 1.4596e+16,  2.9191e+16
313.600, 1.5795e+16,  3.1590e+16
314.400, 1.7086e+16,  3.4173e+16
315.200, 1.8476e+16,  3.6951e+16
316.000, 1.9970e+16,  3.9939e+16
316.800, 2.1576e+16,  4.3151e+16
317.600, 2.3302e+16,  4.6603e+16
318.400, 2.5155e+16,  5.0311e+16
319.200, 2.7146e+16,  5.4292e+16
320.000, 2.9282e+16,  5.8564e+16
320.800, 3.1574e+16,  6.3148e+16
321.600, 3.4032e+16,  6.8064e+16
322.400, 3.6667e+16,  7.3333e+16
323.200, 3.9490e+16,  7.8979e+16
324.000, 4.2513e+16,  8.5027e+16
324.800, 4.5750e+16,  9.1500e+16
325.600, 4.9214e+16,  9.8428e+16
326.400, 5.2919e+16,  1.0584e+17
327.200, 5.6880e+16,  1.1376e+17
328.000, 6.1112e+16,  1.2222e+17
328.800, 6.5633e+16,  1.3127e+17
329.600, 7.0458e+16,  1.4092e+17
330.400, 7.5607e+16,  1.5121e+17
331.200, 8.1097e+16,  1.6219e+17
332.000, 8.6949e+16,  1.7390e+17
332.800, 9.3181e+16,  1.8636e+17
333.600, 9.9814e+16,  1.9963e+17
334.400, 1.0687e+17,  2.1374e+17
335.200, 1.1437e+17,  2.2875e+17
336.000, 1.2234e+17,  2.4468e+17
336.800, 1.3080e+17,  2.6160e+17
337.600, 1.3978e+17,  2.7956e+17
338.400, 1.4929e+17,  2.9858e+17
339.200, 1.5937e+17,  3.1874e+17
340.000, 1.7004e+17,  3.4008e+17
340.800, 1.8132e+17,  3.6264e+17
341.600, 1.9324e+17,  3.8649e+17
342.400, 2.0584e+17,  4.1167e+17
343.200, 2.1912e+17,  4.3824e+17
344.000, 2.3313e+17,  4.6626e+17
344.800, 2.4789e+17,  4.9577e+17
345.600, 2.6342e+17,  5.2684e+17
346.400, 2.7976e+17,  5.5952e+17
347.200, 2.9693e+17,  5.9387e+17
348.000, 3.1497e+17,  6.2994e+17
348.800, 3.3389e+17,  6.6779e+17
349.600, 3.5374e+17,  7.0747e+17
350.400, 3.7452e+17,  7.4904e+17
351.200, 3.9628e+17,  7.9256e+17
352.000, 4.1903e+17,  8.3806e+17
352.800, 4.4280e+17,  8.8561e+17
353.600, 4.6762e+17,  9.3524e+17
354.400, 4.9351e+17,  9.8701e+17
355.200, 5.2047e+17,  1.0409e+18
356.000, 5.4855e+17,  1.0971e+18
356.800, 5.7774e+17,  1.1555e+18
357.600, 6.0806e+17,  1.2161e+18
358.400, 6.3953e+17,  1.2791e+18
359.200, 6.7215e+17,  1.3443e+18
360.000, 7.0593e+17,  1.4119e+18
360.800, 7.4086e+17,  1.4817e+18
361.600, 7.7696e+17,  1.5539e+18
362.400, 8.1421e+17,  1.6284e+18
363.200, 8.5260e+17,  1.7052e+18
364.000, 8.9216e+17,  1.7843e+18
364.800, 9.3284e+17,  1.8657e+18
365.600, 9.7462e+17,  1.9492e+18
366.400, 1.0175e+18,  2.0349e+18
367.200, 1.0614e+18,  2.1227e+18
368.000, 1.1063e+18,  2.2126e+18
368.800, 1.1523e+18,  2.3046e+18
369.600, 1.1993e+18,  2.3987e+18
370.400, 1.2473e+18,  2.4945e+18
371.200, 1.2961e+18,  2.5921e+18
372.000, 1.3457e+18,  2.6914e+18
372.800, 1.3962e+18,  2.7924e+18
373.600, 1.4475e+18,  2.8950e+18
374.400, 1.4996e+18,  2.9992e+18
375.200, 1.5524e+18,  3.1047e+18
376.000, 1.6058e+18,  3.2116e+18
376.800, 1.6598e+18,  3.3195e+18
377.600, 1.7143e+18,  3.4286e+18
378.400, 1.7693e+18,  3.5386e+18
379.200, 1.8248e+18,  3.6496e+18
380.000, 1.8806e+18,  3.7613e+18
380.800, 1.9368e+18,  3.8737e+18
381.600, 1.9933e+18,  3.9867e+18
382.400, 2.0501e+18,  4.1002e+18
383.200, 2.1070e+18,  4.2141e+18
384.000, 2.1642e+18,  4.3283e+18
384.800, 2.2213e+18,  4.4426e+18
385.600, 2.2786e+18,  4.5573e+18
386.400, 2.3358e+18,  4.6717e+18
387.200, 2.3933e+18,  4.7865e+18
388.000, 2.4501e+18,  4.9003e+18
388.800, 2.5072e+18,  5.0143e+18
389.600, 2.5638e+18,  5.1277e+18
390.400, 2.6207e+18,  5.2413e+18
391.200, 2.6771e+18,  5.3542e+18
392.000, 2.7335e+18,  5.4670e+18
392.800, 2.7893e+18,  5.5787e+18
393.600, 2.8447e+18,  5.6894e+18
394.400, 2.8999e+18,  5.7997e+18
395.200, 2.9546e+18,  5.9091e+18
396.000, 3.0089e+18,  6.0178e+18
396.800, 3.0628e+18,  6.1257e+18
397.600, 3.1164e+18,  6.2328e+18
398.400, 3.1690e+18,  6.3381e+18
399.200, 3.2214e+18,  6.4427e+18
400.000, 3.2730e+18,  6.5460e+18
400.800, 3.3238e+18,  6.6476e+18
401.600, 3.3746e+18,  6.7493e+18
402.400, 3.4245e+18,  6.8490e+18
403.200, 3.4735e+18,  6.9470e+18
404.000, 3.5221e+18,  7.0442e+18
404.800, 3.5696e+18,  7.1392e+18
405.600, 3.6167e+18,  7.2334e+18
406.400, 3.6632e+18,  7.3264e+18
407.200, 3.7086e+18,  7.4172e+18
408.000, 3.7535e+18,  7.5070e+18
408.800, 3.7972e+18,  7.5944e+18
409.600, 3.8401e+18,  7.6802e+18
410.400, 3.8819e+18,  7.7637e+18
411.200, 3.9230e+18,  7.8459e+18
412.000, 3.9631e+18,  7.9261e+18
412.800, 4.0020e+18,  8.0041e+18
413.600, 4.0411e+18,  8.0822e+18
414.400, 4.0788e+18,  8.1577e+18
415.200, 4.1156e+18,  8.2312e+18
416.000, 4.1512e+18,  8.3024e+18
416.800, 4.1858e+18,  8.3715e+18
417.600, 4.2194e+18,  8.4388e+18
418.400, 4.2522e+18,  8.5044e+18
419.200, 4.2836e+18,  8.5673e+18
420.000, 4.3142e+18,  8.6284e+18
420.800, 4.3437e+18,  8.6874e+18
421.600, 4.3721e+18,  8.7441e+18
422.400, 4.3994e+18,  8.7987e+18
423.200, 4.4256e+18,  8.8512e+18
424.000, 4.4507e+18,  8.9014e+18
424.800, 4.4747e+18,  8.9495e+18
425.600, 4.4976e+18,  8.9953e+18
426.400, 4.5197e+18,  9.0394e+18
427.200, 4.5403e+18,  9.0807e+18
