index,T,flux
1,325.094,2208093199463215
2,327.5,3997127935253790
3,329.75,25464742872056024
4,331.922,63708691505901088
5,334.157,65841021809375048
6,336.329,23277604714407756
7,338.485,16461241590977542
8,340.657,14982865783282102
9,342.813,18943229063767748
10,344.954,21442741423112924
11,347.094,27199076050732336
12,349.344,28803709438044064
13,351.516,25954129560243016
14,353.797,41448416596374176
15,355.954,28119389378185644
16,358.141,26721367401397580
17,360.344,29611046403182780
18,362.547,33016349309821964
19,364.735,32499853726921896
20,366.954,27706812171047344
21,369.172,28772740784070952
22,371.329,33726084780072636
23,373.5,41067307869374120
24,375.657,40456015413149736
25,377.813,49511227640876904
26,379.969,46529983470986832
27,382.125,45087638006939208
28,384.266,52430695783493440
29,386.454,55283641447982168
30,388.61,59218747848252856
31,390.766,64518620252231816
32,392.922,65057853906579400
33,395.094,66662809943822600
34,397.25,79933757009027472
35,399.391,84761514930770032
36,401.563,96994554698541664
37,403.735,86616691985571520
38,405.891,108054723189870896
39,408.047,117684410982178912
40,410.235,115366316566211776
41,412.391,156688499720428864
42,414.563,183062008209281824
43,416.704,179343765337891808
44,418.875,222620446388227904
45,421.047,271214755707337984
46,423.219,264800340760468992
47,425.375,292538035687920384
48,427.547,317880940678009024
49,429.719,413482268699162688
50,431.875,414383996907097280
51,434.047,472971627172131648
52,436.204,442109994132124416
53,438.375,503408220081040768
54,440.532,544220301388437760
55,442.704,627480647339446784
56,444.875,673061391192245760
57,447.047,665161480288415360
58,449.204,714665096159046016
59,451.36,746130045455539584
60,453.532,777769405396757888
61,455.719,835078360265806336
62,457.891,907214853232133632
63,460.047,887245654385890432
64,462.219,972320293339145984
65,464.391,962990405663131904
66,466.547,965368917743491712
67,468.719,1041188438526665088
68,470.875,1066425736119100032
69,473.047,1154980341281854464
70,475.219,1140528950188671488
71,477.375,1183485172256887552
72,479.547,1232820605542690304
73,481.704,1240218342143765248
74,483.86,1258140899109850112
75,486.032,1324310213334672896
76,488.204,1297590702611115264
77,490.36,1320054268807703552
78,492.516,1379614877999348992
79,494.719,1408983083200276736
80,496.875,1398033338407894784
81,499.063,1382587973876547584
82,501.219,1457559064038313728
83,503.407,1493102487112626176
84,505.579,1458871316950232576
