index,T,flux
1,304.906,2308051870712442
2,307.187,3136233585737233
3,309.484,5869174827002142
4,311.765,3300252692646280
5,314.031,1959578337169042
6,316.296,3750761024767613
7,318.625,3032181299029654
8,320.906,2654128635412940
9,323.156,2393324849856543
10,325.421,3467381971765201
11,327.703,5026586582944585
12,329.984,3356300536515973
13,332.25,4177785215222891
14,334.515,4720592803737591
15,336.718,4180444380795650
16,338.984,4677397685002069
17,341.25,3189799792212373
18,343.593,3686604523397226
19,345.875,6771979977706901
20,348.14,2895647975003915
21,350.531,2564505449740235
22,352.796,3981445604176943
23,355.125,4096106025319088
24,357.406,3817437263988116
25,359.671,5363851681087958
26,361.906,4817485771736108
27,364.218,2924265106173407
28,366.562,5914109898191993
29,368.828,4056394472611682
30,371.093,4084505411074821
31,373.343,4073375911475754
32,375.687,4030678596876319
33,378.031,3179644354621063
34,380.25,4465613115144601
35,382.578,5739623042486289
36,384.859,2893304127194891
37,387.171,6973791890545300
38,389.437,5790365811882717
39,391.796,2068293807425164
40,394.078,4524912111680457
41,396.343,6242015907788899
42,398.64,5290574099660777
43,400.906,4444865482710224
44,403.171,2531369076322092
45,405.453,6397142879432771
46,407.812,4360884497659215
47,410.125,3148902803996784
48,412.453,4100928908798457
49,414.796,4612809135298053
50,417.062,5193411155646982
51,419.343,4807437837572522
52,421.671,5459667796916495
53,423.953,3692361613962360
54,426.218,4964365101107724
55,428.5,6889219311869927
56,430.828,3632218419568069
57,433.109,4866213840364919
58,435.421,6201949233621767
59,437.687,5901127616991534
60,440.031,4523159553434496
61,442.312,4157448193110774
62,444.593,4412252735895609
63,446.89,4469409821000737
64,449.234,7030230629769091
65,451.515,5886160739716619
66,453.812,5453130990548825
67,456.093,5377921290632108
68,458.421,6785015883062700
69,460.75,7442817849513634
70,463.109,6594344177024385
71,465.39,6527227452207286
72,467.656,5852399288291707
73,469.921,4578315629643738
74,472.343,7063995045988762
75,474.625,7620826473013902
76,476.89,4329331158730520
77,479.187,8279377260894242
78,481.468,7506802237348500
79,483.75,4860296481686572
80,486.046,5349537555621897
81,488.39,6901685296890940
82,490.703,5775016070161446
83,493.093,7861962426109051
84,495.406,4852619332908127
85,497.625,9885170943310132
86,499.89,9292075943112534
87,502.171,10107586928923774
88,504.39,3557338721615888
89,506.671,6461357542498802
90,508.968,8837936676417830
91,511.25,9237156700780110
92,513.531,8864814369267406
93,515.859,9663575687982000
94,518.25,9844014011683734
95,520.531,7129400361516552
96,522.75,5566604067274286
97,525.062,6195553812383281
98,527.343,8644399056804015
99,529.593,6402945886123749
100,531.828,8333097154939325
101,534.046,4602056366170268
102,536.359,9812466834923554
103,538.609,7620191985520842
104,540.859,7263496901913235
105,543.234,7226950095785295
106,545.593,8381159871351133
107,547.812,11395713207733278
108,550.031,9130045262007394
109,552.281,9364066215132460
110,554.671,10751086332665016
111,556.937,8443614994770646
112,559.187,8471271241769050
113,561.421,7588455978002495
114,563.687,8136541465460880
115,565.906,8094133014388925
116,568.125,6362640930227226
117,570.406,8704885332072699
118,572.656,8760891815939563
119,574.921,7551739271548965
120,577.156,8881428586947402
121,579.546,10597735656111114
122,581.765,9792317630020624
123,584.062,8942966880421923
124,586.281,12430408224674798
125,588.5,8548029998366550
126,590.656,11499262061831706
127,592.937,10014890725352544
128,595.234,6736790785014213
129,597.5,11170726327770362
130,599.812,9752469130101150
131,602.078,9547367453664060
132,604.359,14202038350080946
133,606.515,11147985198188396
134,608.718,13515581990174618
135,610.984,9257754381461678
136,613.343,9950169307097316
137,615.625,12082251545747636
138,617.828,10356412037063164
139,620.093,10376368358253794
140,622.375,13179202482139260
141,624.75,13351486435238378
142,627.031,13710152531738784
143,629.281,9352653874631224
144,631.562,10824476943172894
